epoch	batch	loss	accuracy
0	0	2.303178310394287	0.078125
0	100	1.7427208423614502	0.7265625
0	200	1.6341429948806763	0.828125
0	300	1.5839853286743164	0.8671875
0	400	1.5700175762176514	0.90625
1	0	1.574989676475525	0.890625
1	100	1.609519362449646	0.8515625
1	200	1.5686289072036743	0.8984375
1	300	1.6004310846328735	0.859375
1	400	1.570706844329834	0.890625
2	0	1.587502360343933	0.875
2	100	1.5529131889343262	0.90625
2	200	1.5174347162246704	0.953125
2	300	1.4710524082183838	1.0
2	400	1.4669328927993774	1.0
3	0	1.5100351572036743	0.953125
3	100	1.4649471044540405	1.0
3	200	1.4885156154632568	0.9765625
3	300	1.504883885383606	0.953125
3	400	1.4771595001220703	0.984375
4	0	1.5017675161361694	0.9609375
4	100	1.4801757335662842	0.984375
4	200	1.4712607860565186	0.9921875
4	300	1.475347638130188	0.984375
4	400	1.500913143157959	0.9609375
5	0	1.4948984384536743	0.96875
5	100	1.5083013772964478	0.953125
5	200	1.486708641052246	0.9765625
5	300	1.4800995588302612	0.984375
5	400	1.4770548343658447	0.9921875
6	0	1.4691596031188965	0.9921875
6	100	1.4790611267089844	0.984375
6	200	1.4822723865509033	0.9765625
6	300	1.5109834671020508	0.9453125
6	400	1.4875128269195557	0.9765625
7	0	1.4691157341003418	0.9921875
7	100	1.4699375629425049	0.9921875
7	200	1.4616049528121948	1.0
7	300	1.4686788320541382	0.9921875
7	400	1.4738883972167969	0.9921875
8	0	1.465227484703064	1.0
8	100	1.493943214416504	0.96875
8	200	1.4729726314544678	0.9921875
8	300	1.4799307584762573	0.984375
8	400	1.4865649938583374	0.9765625
9	0	1.4824497699737549	0.984375
9	100	1.4788787364959717	0.984375
9	200	1.4744267463684082	0.984375
9	300	1.484322428703308	0.9765625
9	400	1.4694057703018188	0.9921875
